Worldwide Gross($M),Movie,Release Year
10.42,First Daughter,2004
10.43,The Brothers McMullen,1995
10.43,LOL,2012
10.45,Dangerous Liaisons,2012
10.46,Casablanca,1943
10.47,Steamboy,2005
10.51,Home Fries,1998
10.54,Moms’ Night Out,2014
10.56,We're No Angels,1989
10.56,Pollock,2000
10.56,Mad City,1997
10.57,Three to Tango,1999
10.57,Drop Dead Gorgeous,1999
10.60,The Great Raid,2005
10.62,Return to Oz,1985
10.62,The Virgin Suicides,2000
10.63,The Boondock Saints 2: All Saints Day,2009
10.64,The Apparition,2012
10.64,The Savages,2007
10.66,The End of the Affair,1999
10.67,The Astronaut's Wife,1999
10.68,Moon,2009
10.69,Deconstructing Harry,1997
10.70,RoboCop 3,1993
10.72,Universal Soldier II: The Return,1999
10.73,Glengarry Glen Ross,1992
10.73,Gettysburg,1993
10.73,Not Easily Broken,2009
10.75,The Beastmaster,1982
10.76,Prom,2011
10.76,New York Stories,1989
10.77,We Need to Talk About Kevin,2011
10.77,The Night Listener,2006
10.80,Silver Bullet,1985
10.83,You Can Count on Me,2000
10.83,Get Low,2010
10.83,The Hole,2001
10.85,Here on Earth,2000
10.85,Extract,2009
10.94,What the #$'! Do We Know,2004
10.95,Black Snake Moan,2007
11.00,Solomon and Sheba,1959
11.00,Pat Garrett and Billy the Kid,1973
11.00,Show Boat,1951
11.00,The Lost Weekend,1945
11.00,The Birth of a Nation,1915
11.01,A Farewell To Arms,1957
11.02,Jonah Hex,2010
11.05,Krush Groove,1985
11.10,Big Trouble in Little China,1986
11.12,Brokedown Palace,1999
11.13,The Cooler,2003
11.14,The Astronaut Farmer,2007
11.16,Barney's Great Adventure,1998
11.17,Fun Size,2012
11.17,Never Let Me Go,2010
11.19,The Squid and the Whale,2005
11.20,Deep Rising,1998
11.23,Superman IV: The Quest for Peace,1987
11.23,Stop-Loss,2008
11.25,Straw Dogs,2011
11.26,Shanghai,2015
11.26,Son of Rambow: A Home Movie,2008
11.26,Chill Factor,1999
11.27,Frances Ha,2013
11.28,Lars and the Real Girl,2007
11.29,Before Sunset,2004
11.32,Water,2006
11.35,Snow Flower and the Secret Fan,2011
11.35,Reign of Assassins,2011
11.40,Sphinx,1981
11.43,Beyond Borders,2003
11.50,The Sessions,2012
11.53,Turbulence,1997
11.54,Tsotsi,2006
11.54,The Cookout,2004
11.55,The Legend of Drunken Master,2000
11.56,The Order,2003
11.58,Wing Commander,1999
11.60,Banlieue 13,2006
11.60,Lifeforce,1985
11.61,The Muse,1999
11.63,Dum Maaro Dum,2011
11.63,The Adventures of Elmo in Grouchland,1999
11.64,Halloween 5: The Revenge of Michael Myers,1989
11.73,Quills,2000
11.74,The Great Escape,1963
11.74,3 Ninjas Kick Back,1994
11.75,Layer Cake,2005
11.76,Micmacs,2010
11.76,Shopgirl,2005
11.77,Seeking a Friend for the End of the World,2012
11.77,Hoop Dreams,1994
11.78,The Longshots,2008
11.78,Tales from the Hood,1995
11.78,Trance,2010
11.80,The Rules of Attraction,2002
11.81,Bloodsport,1988
11.81,The Thirteenth Floor,1999
11.81,Getaway,2013
11.83,Conviction,2010
11.83,Chloe,2010
11.84,Narc,2002
11.92,Mulholland Drive,2001
11.92,End of the Spear,2006
11.99,"4 luni, 3 saptamani si 2 zile",2008
12.00,Sorcerer,1977
12.00,Harper,1966
12.02,In Dreams,1999
12.02,Harry Brown,2010
12.03,How to Lose Friends & Alienate People,2008
12.05,Dave Chappelle's Block Party,2006
12.07,Holy Man,1998
12.08,Stoker,2013
12.18,Office Space,1999
12.21,Confidence,2003
12.22,Abandon,2002
12.23,The Lunchbox,2014
12.23,Lone Wolf McQuade,1983
12.25,Låt den rätte komma in,2008
12.25,Whiteout,2009
12.26,Dark Blue,2003
12.27,My Life Without Me,2003
12.29,Chasing Liberty,2004
12.30,Escape from the Planet of the Apes,1971
12.31,True Romance,1993
12.34,Street Fighter: The Legend of Chun-Li,2009
12.34,The Interview,2014
12.35,Soul Men,2008
12.37,Ready to Rumble,2000
12.38,The Andromeda Strain,1971
12.40,I'm Not There,2007
12.40,Undisputed,2002
12.41,Bella,2007
12.41,Nueve Reinas,2002
12.41,Bad Lieutenant: Port of Call New Orleans,2009
12.42,Knockaround Guys,2002
12.45,Hot Tub Time Machine 2,2015
12.50,War and Peace,1956
12.51,Zoom,2006
12.51,Breakin' All the Rules,2004
12.52,Sorority Boys,2002
12.52,People Like Us,2012
12.53,Gattaca,1997
12.55,Love Jones,1997
12.58,Bachelorette,2012
12.59,Gossip,2000
12.59,Diner,1982
12.60,Frenzy,1972
12.62,Extreme Ops,2002
12.66,Chasing Papi,2003
12.67,Idlewild,2006
12.68,The Omega Code,1999
12.74,"Bon Cop, Bad Cop",2006
12.76,The Light Between Oceans,2016
12.79,Mystic Pizza,1988
12.80,The Nun's Story,1959
12.80,Highlander: Endgame,2000
12.80,Marvin's Room,1996
12.82,Unfinished Business,2015
12.85,Deception,2008
12.90,Mary Reilly,1996
12.90,Highlander,1986
12.91,Living Out Loud,1998
12.92,Gods and Generals,2003
12.93,Slither,2006
12.93,The Green Inferno,2015
12.95,April Fool's Day,1986
12.96,Lone Star,1996
12.97,Bandslam,2009
12.99,The Vatican Tapes,2015
13.00,The Wiz,1978
13.00,They Live,1988
13.00,Torn Curtain,1966
13.00,Kinsey,2004
13.01,In Cold Blood,1967
13.02,The Crew,2000
13.02,Crooklyn,1994
13.04,Angela's Ashes,1999
13.05,Ghosts of Mississippi,1996
13.06,The Way of the Gun,2000
13.08,The Ice Pirates,1984
13.09,Hillary’s America: The Secret History of the Democratic Party,2016
13.13,To Kill A Mockingbird,1962
13.17,Akmareul Boatda,2011
13.17,The Honeymooners,2005
13.20,Family Plot,1976
13.20,Anything Else,2003
13.21,I Think I Love My Wife,2007
13.21,FearDotCom,2002
13.23,In the Name of the King: A Dungeon Siege Tale,2008
13.25,The Pirates Who Don't Do Anything: A VeggieTales Movie,2008
13.35,Vera Drake,2004
13.38,Bullets Over Broadway,1994
13.40,The Legend of the Lone Ranger,1981
13.42,Secrets & Lies,1996
13.42,While We're Young,2015
13.42,The Lords of Dogtown,2005
13.45,Chasseurs de dragons,2009
13.45,The History Boys,2006
13.45,Los tres entierros de Melquiades Estrada,2005
13.48,Le Havre,2011
13.51,The Deep End of the Ocean,1999
13.56,The Little Vampire,2000
13.56,Tomcats,2001
13.59,Redemption,2013
13.60,Osmosis Jones,2001
13.60,American Outlaws,2001
13.64,Sydney White,2007
13.64,The Gunman,2015
13.68,Mutiny on The Bounty,1962
13.68,Hey Arnold! The Movie,2002
13.71,Fear and Loathing in Las Vegas,1998
13.72,The Ladies Man,2000
13.73,One Night with the King,2006
13.74,Highlander III: The Sorcerer,1995
13.75,Blow Out,1981
13.77,The House of the Dead,2003
13.77,Juwanna Mann,2002
13.80,She's the One,1996
13.80,"New York, New York",1977
13.80,The Man Who Knew Too Little,1997
13.84,The Spanish Prisoner,1998
13.85,My Stepmother Is an Alien,1988
13.88,Religulous,2008
13.91,Waltz with Bashir,2008
13.97,Stealing Harvard,2002
14.00,Creepshow 2,1987
14.01,Def Jam's How To Be a Player,1997
14.11,How to Deal,2003
14.11,Poltergeist III,1988
14.12,Little Children,2006
14.14,In the Land of Women,2007
14.16,Dirty Pretty Things,2003
14.19,Labor Day,2014
14.23,Buffy the Vampire Slayer,1992
14.24,The Return of the Living Dead,1985
14.25,Freddy Got Fingered,2001
14.25,Josie and the Pussycats,2001
14.25,Sukkar banat,2008
14.27,The Messenger: The Story of Joan of Arc,1999
14.29,I Dreamed of Africa,2000
14.29,Ballistic: Ecks vs. Sever,2002
14.31,Do You Believe?,2015
14.31,Beginners,2011
14.32,Tropa de Elite,2008
14.32,Turistas,2006
14.33,Hot Rod,2007
14.34,Friday the 13th Part VIII: Jason Takes Manhattan,1989
14.36,Memoirs of an Invisible Man,1992
14.38,Ishtar,1987
14.38,Snow Falling on Cedars,1999
14.40,Tea with Mussolini,1999
14.40,Trapeze,1956
14.40,Halloween 3: Season of the Witch,1982
14.44,Maria Full of Grace,2004
14.45,"Life, or Something Like It",2002
14.47,Welcome to Mooseport,2004
14.47,Flight of the Intruder,1991
14.49,Being Julia,2004
14.52,Red Lights,2012
14.53,Kickboxer,1989
14.55,School Daze,1988
14.55,Soul Plane,2004
14.56,Hellraiser,1987
14.57,Envy,2004
14.60,Birth,2004
14.62,Beyond the Lights,2014
14.62,Soldier,1998
14.68,Khiladi 786,2012
14.79,Out Cold,2001
14.79,Radio Days,1987
14.81,Possession,2002
14.81,A Dangerous Method,2011
14.81,Raise Your Voice,2004
14.82,Flyboys,2006
14.82,Supernova,2000
14.84,Hollywood Ending,2002
14.84,Eve's Bayou,1997
14.88,Regression,2015
14.93,Boat Trip,2003
14.94,The Hudsucker Proxy,1994
14.94,Kiss of Death,1995
14.95,Scout's Guide to the Zombie Apocalypse,2015
14.97,Solaris,2002
15.00,Obitaemyy ostrov,2009
15.00,The Egyptian,1954
15.00,The Front Page,1974
15.00,Spaced Invaders,1990
15.02,Haakon Haakonsen,1991
15.04,The Reef,2010
15.06,Twilight,1998
15.06,Dead Man on Campus,1998
15.12,The Painted Veil,2006
15.13,Halloween: The Curse of Michael Myers,1995
15.13,Io sono l’amore,2010
15.14,Firestarter,1984
15.14,La science des rêves,2006
15.16,Iris,2001
15.16,Chasing Amy,1997
15.16,The Corruptor,1999
15.17,Thinner,1996
15.20,The Long Riders,1980
15.20,Sweet Sweetback's Baad Asssss Song,1971
15.21,Snezhnaya koroleva,2014
15.30,"The Goods: Live Hard, Sell Hard",2009
15.30,Ida,2014
15.31,The Assassination of Jesse James by the Coward Robert Ford,2007
15.32,The Haunting of Molly Hartley,2008
15.36,Alex & Emma,2003
15.40,Touching the Void,2004
15.43,Out of the Furnace,2013
15.45,The Jacket,2005
15.46,The Fountain,2006
15.47,The Weather Man,2005
15.47,The Greatest Game Ever Played,2005
15.47,In Too Deep,1999
15.47,Bait,2000
15.47,The Greatest Story Ever Told,1965
15.55,My Boss's Daughter,2003
15.60,Ulee's Gold,1997
15.64,Made in Dagenham,2010
15.68,Larry the Cable Guy: Health Inspector,2006
15.70,The Last Station,2010
15.70,High Plains Drifter,1973
15.72,The Island,1980
15.73,Jaws 4: The Revenge,1987
15.82,Anonymous,2011
15.83,Extraordinary Measures,2010
15.87,Haevnen,2011
15.88,Big Eyes,2014
15.91,The Conspirator,2011
15.91,Thomas and the Magic Railroad,2000
15.94,Jason Goes to Hell: The Final Friday,1993
15.94,Cry Wolf,2005
15.98,Drowning Mona,2000
16.01,The Ice Storm,1997
16.02,O (Othello),2001
16.04,Incendies,2010
16.12,"Bright Lights, Big City",1988
16.12,Imagine That,2009
16.13,Winter's Bone,2010
16.14,Wes Craven Presents: They,2002
16.15,Flirting with Disaster,1996
16.15,Mo' Better Blues,1990
16.16,House of Sand and Fog,2003
16.17,Just Visiting,2001
16.17,Paranoia,2013
16.17,Shine a Light,2008
16.19,The Emperor's Club,2002
16.24,Black Christmas,2006
16.30,Howard the Duck,1986
16.30,Muppets From Space,1999
16.31,Pride and Prejudice and Zombies,2016
16.32,A Simple Plan,1998
16.35,Two Lovers,2009
16.37,The Words,2012
16.38,"I Love You, Beth Cooper",2009
16.43,The Powerpuff Girls,2002
16.50,Der Baader Meinhof Komplex,2009
16.51,American Dreamz,2006
16.52,Sea Rex 3D: Journey to a Prehistoric World,2010
16.52,Original Sin,2001
16.55,Transamerica,2005
16.57,Mindhunters,2005
16.57,Blue Valentine,2010
16.58,Baby's Day Out,1994
16.59,The Good Girl,2002
16.61,Silent House,2012
16.61,Paparazzi,2004
16.63,Digimon: The Movie,2000
16.64,Bringing Out The Dead,1999
16.67,Tremors,1990
16.72,Battle of the Year,2013
16.73,My Soul to Take,2010
16.76,54,1998
16.83,"Kiss Kiss, Bang Bang",2005
16.83,Femme Fatale,2002
16.87,Rabbit-Proof Fence,2002
16.91,Death Sentence,2007
16.91,Godsend,2004
16.95,Jason X,2002
16.96,Catch That Kid,2004
16.98,Win a Date with Tad Hamilton!,2004
16.99,The Country Bears,2002
17.00,Kingdom of the Spiders,1977
17.01,"House of 1,000 Corpses",2003
17.01,Central do Brasil,1998
17.02,Somewhere,2010
17.03,Pandorum,2009
17.03,Kung Pow: Enter the Fist,2002
17.16,Kites,2010
17.20,Election,1999
17.22,Hit & Run,2012
17.22,Hudson Hawk,1991
17.22,Bright Star,2009
17.22,The Phantom,1996
17.25,Dolphins and Whales Tribes of the Ocean 3D,2008
17.29,Max Keeble's Big Move,2001
17.30,The Matador,2005
17.31,12 Rounds,2009
17.32,My Baby's Daddy,2004
17.33,Sunshine Cleaning,2009
17.36,And So It Goes,2014
17.38,Extreme Measures,1996
17.39,Half Baked,1998
17.40,Les Triplettes de Belleville,2003
17.43,A Guy Thing,2003
17.43,Roll Bounce,2005
17.46,Glee: The 3D Concert Movie,2011
17.48,Rachel Getting Married,2008
17.49,Beneath the Planet of the Apes,1970
17.49,Rebound,2005
17.50,Addicted,2014
17.51,Disturbing Behavior,1998
17.54,Invasion U.S.A.,1985
17.55,Fruitvale Station,2013
17.55,Adventureland,2009
17.57,Cat on a Hot Tin Roof,1958
17.59,Swing Vote,2008
17.66,Kit Kittredge: An American Girl,2008
17.68,Little Boy,2015
17.70,The Oxford Murders,2010
17.76,The Rage: Carrie 2,1999
17.77,Halloween 4: The Return of Michael Myers,1988
17.80,The Contender,2000
17.81,School for Scoundrels,2006
17.82,The Infiltrator,2016
17.83,City of Ember,2008
17.86,Brothers,2015
17.87,Antitrust,2001
17.97,Stolen,2012
17.99,The Howling,1981
18.02,Everything You Always Wanted to Know,1972
18.09,Wes Craven's New Nightmare,1994
18.11,Friends with Money,2006
18.12,Last Man Standing,1996
18.12,All the Pretty Horses,2000
18.19,Dope,2015
18.20,Repo Men,2010
18.21,Daddy Day Camp,2007
18.23,Harold & Kumar Go to White Castle,2004
18.25,Loser,2000
18.26,Eye of the Beholder,2000
18.27,Sugar Hill,1994
18.27,Machete Kills,2013
18.31,Jagten,2013
18.31,Simon Birch,1998
18.34,Sleeper,1973
18.38,Sabotage,2014
18.40,Ladyhawke,1985
18.50,Empire,2002
18.50,The Curse of the Jade Scorpion,2001
18.50,A Mighty Wind,2003
18.52,Cutthroat Island,1995
18.52,De-Lovely,2004
18.53,[Rec] 2,2010
18.54,An Unfinished Life,2005
18.55,The Quick and the Dead,1995
18.58,The Fan,1996
18.61,Fired Up,2009
18.64,Michael Jordan to the MAX,2000
18.65,Anywhere But Here,1999
18.67,Waiting...,2005
18.71,3000 Miles to Graceland,2001
18.73,Housefull,2010
18.73,Admission,2013
18.77,The Merchant of Venice,2004
18.83,Under the Rainbow,1981
18.83,See No Evil,2006
18.86,Whip It,2009
18.87,Mine Vaganti,2010
18.96,Akeelah and the Bee,2006
18.99,The World's Fastest Indian,2005
19.00,The Boys from Brazil,1978
19.04,The Replacement Killers,1998
19.08,Rushmore,1998
19.12,Capitalism: A Love Story,2009
19.12,Vanity Fair,2004
19.15,A Mighty Heart,2007
19.17,Friday the 13th Part VII: The New Blood,1988
19.17,The Visitor,2008
19.18,Martin Lawrence Live: RunTelDat,2002
19.23,Half Past Dead,2002
19.28,Bandidas,2006
19.29,2046,2005
19.29,Summer of Sam,1999
19.32,Rock Star,2001
19.34,Tuck Everlasting,2002
19.42,Get Carter,2000
19.42,Doug's 1st Movie,1999
19.44,House Party 2,1991
19.47,Friday the 13th Part VI: Jason Lives,1986
19.54,The Perfect Man,2005
19.54,Blackhat,2015
19.56,Before I Go to Sleep,2014
19.57,Heavy Metal,1981
19.60,Dead Man Down,2013
19.60,Nighthawks,1981
19.64,Vampire in Brooklyn,1995
19.69,Youth in Revolt,2010
19.69,Summer Catch,2001
19.74,Young Sherlock Holmes,1985
19.76,Amelia,2009
19.86,Get Over It,2001
19.87,Hard Rain,1998
19.89,Caché,2005
19.89,Fled,1996
19.91,Un Prophète,2010
19.93,crazy/beautiful,2001
19.95,Frailty,2002
20.00,The Kentucky Fried Movie,1977
20.01,Another Year,2010
20.01,The Life of Brian,1979
20.03,I Heart Huckabees,2004
20.04,Down to You,2000
20.04,Creepshow,1982
20.05,Blindness,2008
20.08,Reign Over Me,2007
20.11,Legends of Oz: Dorothy’s Return,2014
20.12,Nanjing! Nanjing!,2009
20.12,Love and Death,1975
20.13,Multiplicity,1996
20.15,Serving Sara,2002
20.16,Beerfest,2006
20.17,Barry Lyndon,1975
20.19,Hodejegerne,2012
20.20,Die Fälscher,2008
20.26,Action Jackson,1988
20.27,Vampires,1998
20.28,City Hall,1996
20.29,The Namesake,2007
20.38,Valentine,2001
20.39,F.I.S.T,1978
20.40,Duel in the Sun,1946
20.41,Kids,1995
20.41,Shame,2011
20.42,The Adventures of Ford Fairlane,1990
20.43,Margin Call,2011
20.47,My Life in Ruins,2009
20.47,The Nutcracker in 3D,2010
20.54,Easy Virtue,2009
20.54,The Last Castle,2001
20.60,Bobby,2006
20.60,Country Strong,2010
20.61,A Christmas Story,1983
20.61,Walk Hard: The Dewey Cox Story,2007
20.61,Keanu,2016
20.65,It Follows,2015
20.66,The Man From Snowy River,1982
20.70,Best in Show,2000
20.72,Eurotrip,2004
20.72,Alex Rider: Operation Stormbreaker,2006
20.74,Boys Don't Cry,1999
20.77,Fifty Shades of Black,2016
20.77,The Dead Zone,1983
20.77,Left Behind,2014
20.79,A Thousand Words,2012
20.82,Georgia Rule,2007
20.84,The Postman,1997
20.84,Super Mario Bros.,1993
20.88,Amores Perros,2001
20.90,Khumba,2013
20.93,Red Dog,2011
20.94,The Devil's Rejects,2005
20.96,La Guerre du feu,1982
20.97,A Room with a View,1986
21.00,Cat People,1982
21.09,Tales from the Crypt: Demon Knight,1995
21.09,Very Bad Things,1998
21.13,A Stir of Echoes,1999
21.16,A Nightmare On Elm Street Part 2: Freddy's Revenge,1985
21.17,ATL,2006
21.17,Raising Cain,1992
21.20,The Guard,2011
21.21,A Haunted House 2,2014
21.22,New York Minute,2004
21.27,Buried,2010
21.28,The Apostle,1997
21.30,Die Unendliche Geschichte,1984
21.36,Center Stage,2000
21.38,The Fog,1980
21.40,Arn - Tempelriddaren,2007
21.41,Our Family Wedding,2010
21.41,Quigley Down Under,1990
21.50,The Right Stuff,1983
21.50,Army of Darkness,1993
21.54,The Rum Diary,2011
21.57,Black or White,2014
21.60,Over Her Dead Body,2008
21.60,Wicker Park,2004
21.62,Doomsday,2008
21.66,White Oleander,2002
21.72,Friday the 13th Part 2,1981
21.75,Exodus,1960
21.76,Little Black Book,2004
21.79,Little Voice,1998
21.80,Boys and Girls,2000
21.82,Melancholia,2011
21.83,Mr. 3000,2004
21.85,Reno 911!: Miami,2007
21.87,Just Wright,2010
21.90,Flicka,2006
21.93,Friday the 13th Part V: A New Beginning,1985
21.97,Feichang Xingyun,2013
21.97,Unaccompanied Minors,2006
21.97,Joy Ride,2001
22.00,The Big Parade,1925
22.02,The Man with the Iron Fists,2012
22.03,Don Juan DeMarco,1995
22.10,Man of the House,2005
22.11,The Medallion,2003
22.12,Home for the Holidays,1995
22.14,Three Kingdoms: Resurrection of the Dragon,2010
22.17,The Marine,2006
22.17,A Nightmare On Elm Street: The Dream Child,1989
22.18,Race,2016
22.20,My Blueberry Nights,2008
22.22,Waitress,2007
22.23,Super Size Me,2004
22.24,Free State of Jones,2016
22.33,My Fellow Americans,1996
22.37,At First Sight,1999
22.39,Two Can Play That Game,2001
22.41,He Got Game,1998
22.43,City by the Sea,2002
22.47,Winter's Tale,2014
22.55,Much Ado About Nothing,1993
22.59,Drive Me Crazy,1999
22.59,Trance,2013
22.60,Bullet to the Head,2013
22.67,Prophecy,1979
22.73,The Juror,1996
22.74,Polisse,2012
22.75,Young Adult,2011
22.75,Le Scaphandre et le Papillon,2007
22.82,A Perfect Getaway,2009
22.85,Enough Said,2013
22.85,Beloved,1998
22.86,Alatriste,2007
22.86,The Glass House,2001
22.88,Lola rennt,1999
22.89,Baggage Claim,2013
22.91,The Ruins,2008
22.91,Ella Enchanted,2004
22.92,Rounders,1998
22.94,La Vie d'Adèle – Chapitres 1 & 2,2013
22.97,Domino,2005
22.98,Aquamarine,2006
23.01,Bulletproof Monk,2003
23.01,"I Love You, Phillip Morris",2010
23.05,Super Troopers,2002
23.05,The Players Club,1998
23.13,Joyeux Noël,2006
23.19,Stay Alive,2006
23.27,Beasts of the Southern Wild,2012
23.27,[Rec],2009
23.27,La misma luna,2008
23.34,Once,2007
23.35,Soul Kitchen,2010
23.35,Hoodwinked Too: Hood vs. Evil,2011
23.36,Reindeer Games,2000
23.37,Antwone Fisher,2002
23.38,Before Midnight,2013
23.38,Raging Bull,1980
23.39,Triple 9,2016
23.39,Kingdom Come,2001
23.46,Snowden,2016
23.47,Chinjeolhan geumjassi,2006
23.51,Legend,1986
23.59,Hustle & Flow,2005
23.60,The Best Years of Our Lives,1946
23.66,Armored,2009
23.68,North Country,2005
23.69,Network,1976
23.69,In the Cut,2003
23.73,Dickie Roberts: Former Child Star,2003
23.80,House of Wax,1953
23.89,Life as a House,2001
23.89,Graduation Day,1981
23.91,The Railway Man,2014
23.91,The Alamo,2004
24.00,Virtuosity,1995
24.02,Swimming Pool,2003
24.10,The Adventures of Huck Finn,1993
24.15,The Guru,2003
24.16,Wanderlust,2012
24.17,Renaissance Man,1994
24.22,Warrior,2011
24.36,The Next Best Thing,2000
24.38,In the Heat of the Night,1967
24.41,The Shipping News,2001
24.42,Arlington Road,1999
24.43,Jodaeiye Nader az Simin,2011
24.46,Notorious,1946
24.47,Modern Problems,1981
24.47,I Don't Know How She Does It,2011
24.49,In the Valley of Elah,2007
24.52,Joe Somebody,2001
24.59,Punch-Drunk Love,2002
24.60,The Apartment,1960
24.60,Mad Max 2: The Road Warrior,1982
24.66,Sparkle,2012
24.69,Biutiful,2010
24.72,Seed of Chucky,2004
24.72,Lottery Ticket,2010
24.76,Nebraska,2013
24.89,Whiskey Tango Foxtrot,2016
24.91,Kurtlar vadisi - Irak,2006
24.91,Catch-22,1970
24.94,Aloha,2015
25.00,Logan's Run,1976
25.00,Some Like it Hot,1959
25.00,The Stewardesses,1969
25.01,Exorcist II: The Heretic,1977
25.03,Mommie Dearest,1981
25.04,Mad Money,2008
25.05,Wyatt Earp,1994
25.06,The Wood,1999
25.08,Midnight in the Garden of Good and Evil,1997
25.11,Cursed,2005
25.12,Corky Romano,2001
25.19,Mr. Turner,2014
25.20,Grace of Monaco,2015
25.24,Escape from New York,1981
25.27,Bride & Prejudice,2005
25.31,Le prénom,2012
25.34,25th Hour,2002
25.36,The Last Legion,2007
25.36,Can't Hardly Wait,1998
25.36,The Cold Light of Day,2012
25.40,Persepolis,2007
25.43,Escape from L.A.,1996
25.45,The Last Exorcism Part II,2013
25.48,Elle s'appelait Sarah,2011
25.50,A Nightmare on Elm Street,1984
25.51,Top Five,2014
25.53,Desperado,1995
25.53,Halloween II,1981
25.61,Jonah: A VeggieTales Movie,2002
25.67,The Wind That Shakes the Barley,2007
25.69,Big Miracle,2012
25.70,The Outsiders,1983
25.73,Das Weisse Band: Eine deutsche Kindergeschichte,2009
25.73,From Dusk Till Dawn,1996
25.73,Ice Princess,2005
25.84,Shadowlands,1993
25.85,Rollerball,2002
25.86,Our Idiot Brother,2011
25.87,Saving Silverman,2001
25.87,All About the Benjamins,2002
25.88,Carrie,1976
25.90,Cry Freedom,1987
25.91,Les invasions barbares,2003
25.93,The Cotton Club,1984
25.94,Mao's Last Dancer,2010
26.00,Do the Right Thing,1989
26.01,The Elephant Man,1980
26.06,Indigènes,2006
26.10,Fair Game,1995
26.12,Your Highness,2011
26.12,Howards End,1992
26.13,Jobs,2013
26.15,"Couloirs du temps: Les visiteurs 2, Les",1998
26.17,U2 3D,2008
26.18,The New World,2005
26.20,Blood Work,2002
26.21,Dumb and Dumberer: When Harry Met Lloyd,2003
26.32,The Whole Ten Yards,2004
26.34,The Box,2009
26.35,The Quiet American,2002
26.39,Upside Down,2013
26.40,Conan the Destroyer,1984
26.52,Apollo 18,2011
26.53,The Great Gatsby,1974
26.57,Harriet the Spy,1996
26.57,The Texas Chainsaw Massacre,1974
26.59,Glory,1989
26.61,Blast from the Past,1999
26.67,Oliver Twist,2005
26.67,Event Horizon,1997
26.70,Timeline,2003
26.71,One True Thing,1998
26.72,A Prairie Home Companion,2006
26.74,Sorority Row,2009
26.74,Baahubali: The Beginning,2015
26.79,Eye for an Eye,1996
26.85,The Way Way Back,2013
26.86,Splice,2010
26.92,Tron,1982
26.94,Spy Hard,1996
26.94,Rendition,2007
27.00,Un monstre à Paris,2013
27.03,Monsoon Wedding,2002
27.05,The Musketeer,2001
27.07,The Big Hit,1998
27.09,Fast Times at Ridgemont High,1982
27.10,The Story of Us,1999
27.11,Flash Gordon,1980
27.15,Mongol,2008
27.15,The Cave,2005
27.15,Observe and Report,2009
27.15,Baby Geniuses,1999
27.19,A Passage to India,1984
27.24,Zwartboek,2007
27.26,Dark City,1998
27.28,The Muppet Christmas Carol,1992
27.34,Clerks II,2006
27.39,The Incredible Burt Wonderstone,2013
27.43,Norm of the North,2016
27.45,Dune,1984
27.45,Poetic Justice,1993
27.47,Ramona and Beezus,2010
27.48,Mandela: Long Walk to Freedom,2013
27.49,Tailor of Panama,2001
27.50,The Thing,2011
27.57,Michael Collins,1996
27.61,Goal! The Dream Begins,2006
27.68,The Island of Dr. Moreau,1996
27.69,To Die For,1995
27.70,Dark Skies,2013
27.71,Love and Basketball,2000
27.73,Menace II Society,1993
27.73,Nurse Betty,2000
27.79,Saving Grace,2000
27.79,Air Bud,1997
27.79,RocknRolla,2008
27.84,Mrs. Henderson Presents,2005
27.87,The Best of Me,2014
27.88,Traitor,2008
27.91,Appaloosa,2008
27.94,Friday,1995
27.96,The Brothers,2001
27.98,Loaded Weapon 1,1993
28.01,Cirque du Soleil: Worlds Away,2012
28.06,Doogal,2006
28.09,The 33,2015
28.14,A Single Man,2009
28.20,"20,000 Leagues Under the Sea",1954
28.23,Thunderbirds,2004
28.27,Taxi Driver,1976
28.27,Let Me In,2010
28.31,The Shawshank Redemption,1994
28.32,Brown Sugar,2002
28.35,A Man for All Seasons,1966
28.36,"Lock, Stock and Two Smoking Barrels",1999
28.38,Go!,1999
28.39,Hoffa,1992
28.45,Frost/Nixon,2008
28.54,The Out-of-Towners,1999
28.58,W.,2008
28.65,Wrong Turn,2003
28.67,American Psycho,2000
28.70,Agent Cody Banks 2: Destination London,2004
28.73,Baby Boy,2001
28.75,The Brothers Grimsby,2016
28.76,Yu-Gi-Oh,2004
28.77,Boiler Room,2000
28.77,Case 39,2010
28.87,"Girl, Interrupted",1999
28.88,The Player,1992
28.91,Heist,2001
28.92,The Upside of Anger,2005
28.92,The Life of David Gale,2003
28.97,The New Guy,2002
29.01,Wolf Creek,2005
29.03,Far From Heaven,2002
29.09,Double Impact,1991
29.15,The Object of my Affection,1998
29.20,Rang De Basanti,2006
29.20,The Rose,1979
29.20,Bulworth,1998
29.21,The Road,2009
29.23,The Stepfather,2009
29.28,Draft Day,2014
29.30,When the Bough Breaks,2016
29.32,A Low Down Dirty Shame,1994
29.36,The Prince & Me,2004
29.37,Across the Universe,2007
29.40,The Evil Dead,1983
29.41,The Pledge,2001
29.50,Twilight Zone: The Movie,1983
29.54,Angel Eyes,2001
29.55,"Tora, Tora, Tora",1970
29.55,La grande bellezza,2013
29.65,An Education,2009
29.73,Battlefield Earth: A Saga of the Year 3000,2000
29.78,Riding in Cars with Boys,2001
29.82,Double Take,2001
29.83,St. Trinian's,2009
29.84,Ghost Town,2008
29.86,The Losers,2010
29.87,Shorts,2009
29.88,The Four Feathers,2002
29.93,Small Time Crooks,2000
29.94,New in Town,2009
29.95,Laws of Attraction,2004
30.00,Night of the Living Dead,1968
